C,C,W,W,W,D,D,G,UTIL,PROJ,ACTUAL
Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Richard Panik,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,Jake Gardiner,33.11,35.0
Nathan MacKinnon,Carl Soderberg,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Oliver Ekman-Larsson,Jake Gardiner,Braden Holtby,Matt Nieto,32.99,30.0
Sean Couturier,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Andre Burakovsky,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov,32.86,30.0
Sean Couturier,Carl Soderberg,Alex Ovechkin,Claude Giroux,Blake Comeau,Keith Yandle,Tyson Barrie,Braden Holtby,Matt Nieto,32.57,29.5
Sean Couturier,Nazem Kadri,Claude Giroux,Mitchell Marner,Patrick Marleau,Oliver Ekman-Larsson,Erik Johnson,Braden Holtby,Alex Goligoski,32.53,35.0
Sean Couturier,Mika Zibanejad,Claude Giroux,Chris Kreider,Jesper Fast,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,Erik Johnson,32.52,21.7
Auston Matthews,Sean Couturier,Claude Giroux,William Nylander,Zach Hyman,Morgan Rielly,Oliver Ekman-Larsson,Braden Holtby,Samuel Girard,32.5,32.0
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Blake Comeau,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,Matt Nieto,32.28,16.3
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Gabriel Landeskog,Chris Kreider,Oliver Ekman-Larsson,Alex Goligoski,Roberto Luongo,Brady Skjei,32.26,23.7
Sean Couturier,J.T. Compher,Claude Giroux,Travis Konecny,Tyson Jost,John Carlson,Shayne Gostisbehere,Braden Holtby,Oliver Ekman-Larsson,32.25,30.0
Nathan MacKinnon,Sean Couturier,Claude Giroux,Gabriel Landeskog,Travis Konecny,Dmitry Orlov,Alex Goligoski,Braden Holtby,Samuel Girard,32.21,21.0
Sean Couturier,Mika Zibanejad,Claude Giroux,Chris Kreider,Travis Konecny,Keith Yandle,Dmitry Orlov,Marc-Andre Fleury,Brady Skjei,32.2,25.8
Nathan MacKinnon,J.T. Compher,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Shayne Gostisbehere,Erik Johnson,Braden Holtby,Dmitry Orlov,32.09,26.0
Nathan MacKinnon,Sean Couturier,Claude Giroux,Travis Konecny,Blake Comeau,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Carl Soderberg,31.94,22.3
Vincent Trocheck,Sean Couturier,Claude Giroux,Jonathan Huberdeau,Blake Comeau,Oliver Ekman-Larsson,Aaron Ekblad,Braden Holtby,Denis Malgin,31.9,38.0
Sean Couturier,Nolan Patrick,Claude Giroux,Jakub Voracek,Oskar Lindblom,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Jake Gardiner,31.89,28.5
Aleksander Barkov,Sean Couturier,Claude Giroux,Tyson Jost,Alexander Kerfoot,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,J.T. Compher,31.82,18.3
Nathan MacKinnon,Nolan Patrick,Mikko Rantanen,Jakub Voracek,Oskar Lindblom,Keith Yandle,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov,31.81,25.5
Nathan MacKinnon,Sean Couturier,Claude Giroux,Mikko Rantanen,Travis Konecny,Oliver Ekman-Larsson,Brady Skjei,Henrik Lundqvist,Jimmy Vesey,31.81,25.5
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Clayton Keller,Richard Panik,Oliver Ekman-Larsson,Erik Johnson,Roberto Luongo,Dmitry Orlov,31.79,21.7
Nathan MacKinnon,Auston Matthews,Mikko Rantanen,Gabriel Landeskog,Zach Hyman,Jake Gardiner,Brady Skjei,Marc-Andre Fleury,Samuel Girard,31.76,24.3
Nathan MacKinnon,Nazem Kadri,Mikko Rantanen,Gabriel Landeskog,Patrick Marleau,Tyson Barrie,Oliver Ekman-Larsson,Henrik Lundqvist,Samuel Girard,31.73,18.0
Auston Matthews,Mika Zibanejad,William Nylander,Chris Kreider,Zach Hyman,Tyson Barrie,Erik Johnson,Marc-Andre Fleury,Dmitry Orlov,31.7,22.8
Nathan MacKinnon,Christian Dvorak,Mikko Rantanen,Gabriel Landeskog,Max Domi,Keith Yandle,Morgan Rielly,Braden Holtby,Alex Goligoski,31.67,30.0
Nicklas Backstrom,Nazem Kadri,Mitchell Marner,T.J. Oshie,Patrick Marleau,Keith Yandle,Jake Gardiner,Braden Holtby,Dmitry Orlov,31.61,37.5
Sean Couturier,Christian Dvorak,Claude Giroux,Mikko Rantanen,Travis Konecny,Tyson Barrie,Erik Johnson,Braden Holtby,Max Domi,31.58,27.0
Nathan MacKinnon,Nicklas Backstrom,Gabriel Landeskog,T.J. Oshie,Andre Burakovsky,Erik Johnson,Jake Gardiner,Braden Holtby,Alex Goligoski,31.56,34.0
Sean Couturier,Nazem Kadri,Claude Giroux,Mitchell Marner,Travis Konecny,Tyson Barrie,Neal Pionk,Marc-Andre Fleury,Samuel Girard,31.52,19.8
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Blake Comeau,Matt Nieto,Morgan Rielly,Jake Gardiner,Marc-Andre Fleury,Carl Soderberg,31.5,26.8
Aleksander Barkov,Evgeny Kuznetsov,Alex Ovechkin,Tyson Jost,Alexander Kerfoot,Oliver Ekman-Larsson,Jake Gardiner,Braden Holtby,J.T. Compher,31.49,28.5
Nathan MacKinnon,Carl Soderberg,Mikko Rantanen,Blake Comeau,Matt Nieto,John Carlson,Shayne Gostisbehere,Roberto Luongo,Keith Yandle,31.49,26.7
Nathan MacKinnon,Mika Zibanejad,Gabriel Landeskog,Chris Kreider,Jesper Fast,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Neal Pionk,31.49,21.8
Auston Matthews,Derek Stepan,Clayton Keller,William Nylander,Zach Hyman,Tyson Barrie,Jake Gardiner,Braden Holtby,Mike Matheson,31.43,30.5
Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Travis Konecny,Tyson Barrie,Mike Matheson,Roberto Luongo,Alex Goligoski,31.41,19.2
Nathan MacKinnon,Nazem Kadri,Gabriel Landeskog,Mitchell Marner,Patrick Marleau,Erik Johnson,Dmitry Orlov,Marc-Andre Fleury,Brady Skjei,31.38,27.3
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Clayton Keller,Ivan Provorov,Samuel Girard,Braden Holtby,Blake Comeau,31.38,27.5
Evgeny Kuznetsov,Carl Soderberg,Alex Ovechkin,Tom Wilson,Matt Nieto,John Carlson,Oliver Ekman-Larsson,Braden Holtby,Erik Johnson,31.36,33.0
Nathan MacKinnon,Auston Matthews,Gabriel Landeskog,William Nylander,Zach Hyman,Oliver Ekman-Larsson,Erik Johnson,Henrik Lundqvist,Alex Goligoski,31.36,27.0
Nicklas Backstrom,Derek Stepan,Clayton Keller,T.J. Oshie,Richard Panik,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Alex Goligoski,31.35,33.5
Sean Couturier,Nolan Patrick,Claude Giroux,Jakub Voracek,Travis Konecny,Keith Yandle,Oliver Ekman-Larsson,Roberto Luongo,Neal Pionk,31.35,24.2
Nicklas Backstrom,Mika Zibanejad,T.J. Oshie,Chris Kreider,Andre Burakovsky,Keith Yandle,Morgan Rielly,Marc-Andre Fleury,Jake Gardiner,31.33,32.8
Vincent Trocheck,Denis Malgin,Mikko Rantanen,Gabriel Landeskog,Jonathan Huberdeau,Keith Yandle,Jake Gardiner,Braden Holtby,Samuel Girard,31.32,37.0
Nathan MacKinnon,Nazem Kadri,Mitchell Marner,Patrick Marleau,Blake Comeau,John Carlson,Tyson Barrie,Braden Holtby,Matt Nieto,31.31,30.0
Sean Couturier,Mika Zibanejad,Claude Giroux,William Nylander,Travis Konecny,Tyson Barrie,Jake Gardiner,Henrik Lundqvist,Zach Hyman,31.29,23.0
Evgeny Kuznetsov,Sean Couturier,Alex Ovechkin,Claude Giroux,Tom Wilson,Oliver Ekman-Larsson,Dmitry Orlov,Antti Raanta,Samuel Girard,31.28,24.9
Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Clayton Keller,Richard Panik,Morgan Rielly,Dmitry Orlov,Braden Holtby,Samuel Girard,31.27,29.5
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Gabriel Landeskog,Blake Comeau,Morgan Rielly,Erik Johnson,Henrik Lundqvist,Carl Soderberg,31.24,20.5
Auston Matthews,Carl Soderberg,Claude Giroux,William Nylander,Zach Hyman,John Carlson,Keith Yandle,Marc-Andre Fleury,Matt Nieto,31.24,31.3
Sean Couturier,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Travis Konecny,Erik Johnson,Aaron Ekblad,Roberto Luongo,Samuel Girard,31.22,26.2
Mika Zibanejad,Nazem Kadri,Mitchell Marner,Chris Kreider,Patrick Marleau,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,Tyson Jost,31.18,26.8
Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Chris Kreider,Jesper Fast,Tyson Barrie,Brady Skjei,Marc-Andre Fleury,Samuel Girard,31.18,24.8
Aleksander Barkov,Mika Zibanejad,Clayton Keller,Chris Kreider,Richard Panik,Tyson Barrie,Oliver Ekman-Larsson,Henrik Lundqvist,Derek Stepan,31.18,20.0
Vincent Trocheck,Sean Couturier,Claude Giroux,Wayne Simmonds,Travis Konecny,Jake Gardiner,Mike Matheson,Braden Holtby,Jordan Weal,31.12,31.5
Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,T.J. Oshie,Jimmy Vesey,Tyson Barrie,Brady Skjei,Marc-Andre Fleury,Andre Burakovsky,31.12,27.8
Nathan MacKinnon,Denis Malgin,Mikko Rantanen,Gabriel Landeskog,Jonathan Huberdeau,Morgan Rielly,Oliver Ekman-Larsson,Antti Raanta,Dmitry Orlov,31.1,30.9
Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Matt Nieto,John Carlson,Dmitry Orlov,Roberto Luongo,Carl Soderberg,31.07,17.7
Aleksander Barkov,Carl Soderberg,Evgenii Dadonov,Nick Bjugstad,Blake Comeau,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Erik Johnson,31.07,25.5
Auston Matthews,Nicklas Backstrom,Jakub Voracek,T.J. Oshie,William Nylander,Dmitry Orlov,Alex Goligoski,Braden Holtby,Zach Hyman,31.06,32.5
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Ryan Spooner,Erik Johnson,Neal Pionk,Roberto Luongo,Jimmy Vesey,31.06,22.2
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Tyson Jost,Alexander Kerfoot,John Carlson,Jake Gardiner,Marc-Andre Fleury,J.T. Compher,31.04,18.8
Nazem Kadri,Derek Stepan,Mitchell Marner,Clayton Keller,Patrick Marleau,Shayne Gostisbehere,Keith Yandle,Henrik Lundqvist,Oliver Ekman-Larsson,31.04,33.5
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Richard Panik,Tyson Barrie,Jake Gardiner,Antti Raanta,Alex Goligoski,31.01,24.4
Vincent Trocheck,Derek Stepan,Jakub Voracek,Jonathan Huberdeau,Clayton Keller,Erik Johnson,Dmitry Orlov,Braden Holtby,Denis Malgin,30.97,34.5
Vincent Trocheck,Denis Malgin,Claude Giroux,Jonathan Huberdeau,Travis Konecny,Morgan Rielly,Jake Gardiner,Marc-Andre Fleury,Dmitry Orlov,30.97,30.8
Auston Matthews,Nazem Kadri,Mitchell Marner,William Nylander,Zach Hyman,Keith Yandle,Erik Johnson,Braden Holtby,Blake Comeau,30.95,37.0
Auston Matthews,Sean Couturier,Claude Giroux,Travis Konecny,Zach Hyman,Ivan Provorov,Mike Matheson,Marc-Andre Fleury,Jimmy Vesey,30.93,28.8
Aleksander Barkov,Nicklas Backstrom,T.J. Oshie,Blake Comeau,Andre Burakovsky,John Carlson,Keith Yandle,Braden Holtby,Carl Soderberg,30.92,31.5
Nicklas Backstrom,Derek Stepan,Jakub Voracek,Clayton Keller,T.J. Oshie,Keith Yandle,Oliver Ekman-Larsson,Roberto Luongo,Andre Burakovsky,30.9,30.7
Nathan MacKinnon,Carl Soderberg,Mikko Rantanen,Gabriel Landeskog,Wayne Simmonds,Keith Yandle,Neal Pionk,Marc-Andre Fleury,Jordan Weal,30.88,23.8
Vincent Trocheck,Mika Zibanejad,Jonathan Huberdeau,Chris Kreider,Jesper Fast,Shayne Gostisbehere,Oliver Ekman-Larsson,Henrik Lundqvist,Jake Gardiner,30.88,35.0
Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,Gabriel Landeskog,T.J. Oshie,Dmitry Orlov,Jakob Chychrun,Roberto Luongo,Samuel Girard,30.84,18.7
Evgeny Kuznetsov,Nicklas Backstrom,Alex Ovechkin,T.J. Oshie,Andre Burakovsky,Oliver Ekman-Larsson,Jake Gardiner,Antti Raanta,Neal Pionk,30.82,37.4
Auston Matthews,Nazem Kadri,Mitchell Marner,Patrick Marleau,Zach Hyman,Shayne Gostisbehere,Jake Gardiner,Marc-Andre Fleury,Neal Pionk,30.8,31.8
Evgeny Kuznetsov,Nolan Patrick,Alex Ovechkin,Jakub Voracek,Oskar Lindblom,Keith Yandle,Jake Gardiner,Marc-Andre Fleury,Brady Skjei,30.8,32.3
Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,Zach Hyman,Tom Wilson,Jake Gardiner,Dmitry Orlov,Braden Holtby,Blake Comeau,30.78,28.5
Mika Zibanejad,Nolan Patrick,Claude Giroux,Jakub Voracek,Chris Kreider,John Carlson,Erik Johnson,Marc-Andre Fleury,Oskar Lindblom,30.78,22.3
Auston Matthews,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Zach Hyman,Erik Johnson,Neal Pionk,Marc-Andre Fleury,Andre Burakovsky,30.78,30.8
Sean Couturier,Derek Stepan,Claude Giroux,Jakub Voracek,Travis Konecny,Morgan Rielly,Erik Johnson,Henrik Lundqvist,Richard Panik,30.78,26.0
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Keith Yandle,Mike Matheson,Roberto Luongo,Alexander Kerfoot,30.78,19.7
Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Nick Cousins,Keith Yandle,Aaron Ekblad,Braden Holtby,Christian Fischer,30.75,28.0
Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Richard Panik,Tom Wilson,Tyson Barrie,Oliver Ekman-Larsson,Roberto Luongo,Alex Goligoski,30.73,23.7
Vincent Trocheck,Nicklas Backstrom,Jonathan Huberdeau,T.J. Oshie,Blake Comeau,Tyson Barrie,Erik Johnson,Marc-Andre Fleury,Denis Malgin,30.72,32.8
Aleksander Barkov,Mika Zibanejad,Chris Kreider,Jesper Fast,Blake Comeau,John Carlson,Shayne Gostisbehere,Marc-Andre Fleury,Carl Soderberg,30.71,19.8
Sean Couturier,Nazem Kadri,Claude Giroux,Travis Konecny,Patrick Marleau,Shayne Gostisbehere,Aaron Ekblad,Antti Raanta,Dmitry Orlov,30.71,28.4
Nathan MacKinnon,Dylan Strome,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Tyson Barrie,Mike Matheson,Braden Holtby,Nick Cousins,30.7,20.5
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Chris Kreider,Jesper Fast,Keith Yandle,Aaron Ekblad,Henrik Lundqvist,Samuel Girard,30.69,22.5
Nathan MacKinnon,Derek Stepan,Claude Giroux,Gabriel Landeskog,Clayton Keller,Aaron Ekblad,Brady Skjei,Henrik Lundqvist,Richard Panik,30.67,28.0
Vincent Trocheck,Denis Malgin,Jakub Voracek,Jonathan Huberdeau,Oskar Lindblom,John Carlson,Keith Yandle,Roberto Luongo,Oliver Ekman-Larsson,30.66,32.7
Vincent Trocheck,Auston Matthews,Jonathan Huberdeau,Blake Comeau,Matt Nieto,Shayne Gostisbehere,Morgan Rielly,Braden Holtby,Carl Soderberg,30.63,42.0
Vincent Trocheck,Denis Malgin,Jonathan Huberdeau,William Nylander,Zach Hyman,John Carlson,Tyson Barrie,Braden Holtby,Alex Goligoski,30.62,35.5
Aleksander Barkov,Nazem Kadri,Clayton Keller,Patrick Marleau,Richard Panik,Erik Johnson,Mike Matheson,Braden Holtby,Derek Stepan,30.61,28.5
Nathan MacKinnon,Nicklas Backstrom,T.J. Oshie,Chris Kreider,Jesper Fast,Oliver Ekman-Larsson,Dmitry Orlov,Antti Raanta,Mika Zibanejad,30.61,25.9
Evgeny Kuznetsov,J.T. Compher,Alex Ovechkin,Jakub Voracek,Tyson Jost,Tyson Barrie,Dmitry Orlov,Marc-Andre Fleury,Tom Wilson,30.6,18.3
Vincent Trocheck,Sean Couturier,Claude Giroux,Jonathan Huberdeau,Travis Konecny,Erik Johnson,Alex Goligoski,Antti Raanta,Brady Skjei,30.59,38.9
Vincent Trocheck,Mika Zibanejad,Jakub Voracek,Jonathan Huberdeau,Chris Kreider,Aaron Ekblad,Brady Skjei,Marc-Andre Fleury,Denis Malgin,30.56,35.3
Auston Matthews,Mika Zibanejad,William Nylander,Zach Hyman,Jesper Fast,Shayne Gostisbehere,Keith Yandle,Antti Raanta,Oliver Ekman-Larsson,30.55,35.4
Evgeny Kuznetsov,Mika Zibanejad,Clayton Keller,Chris Kreider,Jesper Fast,Keith Yandle,Dmitry Orlov,Roberto Luongo,Derek Stepan,30.55,24.7
Sean Couturier,Dylan Strome,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Keith Yandle,Jake Gardiner,Antti Raanta,Travis Konecny,30.54,26.9
Auston Matthews,Sean Couturier,Jakub Voracek,William Nylander,Zach Hyman,Aaron Ekblad,Jake Gardiner,Marc-Andre Fleury,Oskar Lindblom,30.54,27.3
Auston Matthews,J.T. Compher,Mikko Rantanen,William Nylander,Zach Hyman,John Carlson,Aaron Ekblad,Braden Holtby,Tyson Jost,30.54,31.0
Nathan MacKinnon,Nolan Patrick,Jakub Voracek,Gabriel Landeskog,Zach Hyman,Tyson Barrie,Morgan Rielly,Marc-Andre Fleury,Oskar Lindblom,30.52,16.3
Vincent Trocheck,Derek Stepan,Jonathan Huberdeau,Clayton Keller,Richard Panik,Keith Yandle,Tyson Barrie,Roberto Luongo,Samuel Girard,30.51,30.2
Nazem Kadri,Carl Soderberg,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,Ivan Provorov,Mike Matheson,Braden Holtby,Patrick Marleau,30.51,35.0
Nathan MacKinnon,Vincent Trocheck,Gabriel Landeskog,Jonathan Huberdeau,Tyson Jost,Tyson Barrie,Brady Skjei,Roberto Luongo,Denis Malgin,30.5,29.2
Sean Couturier,Erik Haula,Claude Giroux,James Neal,Travis Konecny,Oliver Ekman-Larsson,Erik Johnson,Frederik Andersen,Dmitry Orlov,30.49,28.5
Aleksander Barkov,Nazem Kadri,Mitchell Marner,Patrick Marleau,Tyson Jost,Shayne Gostisbehere,Aaron Ekblad,Braden Holtby,J.T. Compher,30.47,32.5
Nathan MacKinnon,Tyler Bozak,Gabriel Landeskog,James van Riemsdyk,Connor Brown,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Dmitry Orlov,30.45,28.0
Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Patrick Marleau,Tom Wilson,Erik Johnson,Jake Gardiner,Marc-Andre Fleury,Samuel Girard,30.45,25.8
Nathan MacKinnon,Nolan Patrick,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Aaron Ekblad,Jake Gardiner,Henrik Lundqvist,Jakob Chychrun,30.45,22.5
Nathan MacKinnon,Evgeny Kuznetsov,Alex Ovechkin,Nick Cousins,Christian Fischer,Shayne Gostisbehere,Oliver Ekman-Larsson,Braden Holtby,Dylan Strome,30.44,31.5
Vincent Trocheck,Sean Couturier,Claude Giroux,Travis Konecny,Matt Nieto,Shayne Gostisbehere,Keith Yandle,Henrik Lundqvist,Denis Malgin,30.42,31.0
Nathan MacKinnon,Nicklas Backstrom,T.J. Oshie,Tyson Jost,Alexander Kerfoot,Keith Yandle,Morgan Rielly,Braden Holtby,J.T. Compher,30.41,31.0
Auston Matthews,Evgeny Kuznetsov,Alex Ovechkin,William Nylander,Zach Hyman,Neal Pionk,Samuel Girard,Marc-Andre Fleury,Jimmy Vesey,30.41,27.8
Auston Matthews,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,William Nylander,Dmitry Orlov,Neal Pionk,Antti Raanta,Zach Hyman,30.37,24.9
Auston Matthews,Nazem Kadri,Mitchell Marner,William Nylander,Patrick Marleau,Tyson Barrie,Oliver Ekman-Larsson,Antti Raanta,Dmitry Orlov,30.37,31.4
Evgeny Kuznetsov,Christian Dvorak,Alex Ovechkin,Tom Wilson,Max Domi,Tyson Barrie,Morgan Rielly,Braden Holtby,Mike Matheson,30.33,29.0
Vincent Trocheck,Nazem Kadri,Jonathan Huberdeau,Mitchell Marner,Patrick Marleau,Tyson Barrie,Jake Gardiner,Henrik Lundqvist,Alex Goligoski,30.32,34.5
Aleksander Barkov,Sean Couturier,Claude Giroux,Evgenii Dadonov,Travis Konecny,Oliver Ekman-Larsson,Jakob Chychrun,Antti Raanta,Blake Comeau,30.31,24.4
Evgeny Kuznetsov,Sean Couturier,Claude Giroux,Travis Konecny,Tom Wilson,Morgan Rielly,Colin Miller,Braden Holtby,Blake Comeau,30.3,28.0
Nicklas Backstrom,Nolan Patrick,Jakub Voracek,T.J. Oshie,Andre Burakovsky,Shayne Gostisbehere,Morgan Rielly,Braden Holtby,Ivan Provorov,30.28,41.5
Sean Couturier,Mika Zibanejad,Claude Giroux,Jakub Voracek,Travis Konecny,John Carlson,Samuel Girard,Antti Raanta,Jesper Fast,30.28,22.4
Vincent Trocheck,J.T. Compher,Jakub Voracek,Jonathan Huberdeau,Tyson Jost,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Alexander Kerfoot,30.25,33.5
Aleksander Barkov,Sean Couturier,Claude Giroux,Evgenii Dadonov,Nick Bjugstad,Jake Gardiner,Brady Skjei,Henrik Lundqvist,Samuel Girard,30.24,25.5
Nathan MacKinnon,Derek Stepan,Jakub Voracek,Clayton Keller,Richard Panik,John Carlson,Jakob Chychrun,Braden Holtby,Oskar Lindblom,30.23,26.5
Vincent Trocheck,Carl Soderberg,Alex Ovechkin,Jonathan Huberdeau,Matt Nieto,Keith Yandle,Mike Matheson,Marc-Andre Fleury,Denis Malgin,30.23,34.8
Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Oliver Ekman-Larsson,Neal Pionk,Frederik Andersen,Andre Burakovsky,30.2,27.0
Sean Couturier,Lars Eller,Claude Giroux,Travis Konecny,Devante Smith-Pelly,John Carlson,Morgan Rielly,Marc-Andre Fleury,Aaron Ekblad,30.2,26.3
Sean Couturier,Nicklas Backstrom,Jakub Voracek,T.J. Oshie,Andre Burakovsky,John Carlson,Mike Matheson,Marc-Andre Fleury,Oskar Lindblom,30.2,25.8
Auston Matthews,Derek Stepan,Clayton Keller,Zach Hyman,Richard Panik,John Carlson,Keith Yandle,Antti Raanta,Erik Johnson,30.18,32.9
Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Tom Wilson,Blake Comeau,Keith Yandle,Aaron Ekblad,Roberto Luongo,Matt Nieto,30.18,28.7
Mika Zibanejad,Nazem Kadri,Claude Giroux,Mitchell Marner,Chris Kreider,Morgan Rielly,Ivan Provorov,Henrik Lundqvist,Jesper Fast,30.17,31.0
Nathan MacKinnon,Lars Eller,Mikko Rantanen,Gabriel Landeskog,Devante Smith-Pelly,Erik Johnson,Aaron Ekblad,Marc-Andre Fleury,Mike Matheson,30.16,24.8
Aleksander Barkov,Mika Zibanejad,Evgenii Dadonov,Chris Kreider,Nick Bjugstad,Oliver Ekman-Larsson,Dmitry Orlov,Roberto Luongo,Samuel Girard,30.16,17.2
Vincent Trocheck,Evgeny Kuznetsov,Alex Ovechkin,Jonathan Huberdeau,Tyson Jost,Oliver Ekman-Larsson,Alex Goligoski,Antti Raanta,Denis Malgin,30.15,38.9
Vincent Trocheck,Nicklas Backstrom,Jonathan Huberdeau,T.J. Oshie,Andre Burakovsky,Aaron Ekblad,Samuel Girard,Braden Holtby,Derek Stepan,30.15,40.0
Sean Couturier,Nicklas Backstrom,Claude Giroux,Travis Konecny,Andre Burakovsky,Shayne Gostisbehere,Jake Gardiner,Frederik Andersen,Alex Goligoski,30.15,33.5
Vincent Trocheck,Auston Matthews,T.J. Oshie,William Nylander,Zach Hyman,Shayne Gostisbehere,Brady Skjei,Marc-Andre Fleury,Denis Malgin,30.14,34.8
William Karlsson,Carl Soderberg,Jonathan Marchessault,Alex Tuch,Blake Comeau,Shayne Gostisbehere,Keith Yandle,Braden Holtby,Oliver Ekman-Larsson,30.14,39.5
Nazem Kadri,Derek Stepan,Claude Giroux,Mitchell Marner,Clayton Keller,Tyson Barrie,Dmitry Orlov,Frederik Andersen,Richard Panik,30.14,25.5
Nathan MacKinnon,Auston Matthews,William Nylander,Zach Hyman,Tyson Jost,Morgan Rielly,Ivan Provorov,Marc-Andre Fleury,Alexander Kerfoot,30.13,29.3
Nicklas Backstrom,Mika Zibanejad,T.J. Oshie,Jesper Fast,Andre Burakovsky,Shayne Gostisbehere,Tyson Barrie,Roberto Luongo,Aaron Ekblad,30.13,28.2
Sean Couturier,Nazem Kadri,Mitchell Marner,T.J. Oshie,Patrick Marleau,Morgan Rielly,Ivan Provorov,Marc-Andre Fleury,Andre Burakovsky,30.12,35.8
Evgeny Kuznetsov,Nazem Kadri,Alex Ovechkin,Mitchell Marner,Patrick Marleau,Oliver Ekman-Larsson,Brady Skjei,Frederik Andersen,Jimmy Vesey,30.12,38.5
Nicklas Backstrom,Mika Zibanejad,Mitchell Marner,T.J. Oshie,Andre Burakovsky,Oliver Ekman-Larsson,Erik Johnson,Frederik Andersen,Nazem Kadri,30.11,35.0
Sean Couturier,Tyler Bozak,Claude Giroux,James van Riemsdyk,Connor Brown,Keith Yandle,Morgan Rielly,Braden Holtby,Alex Goligoski,30.1,38.0
Auston Matthews,Carl Soderberg,Alex Ovechkin,William Nylander,Zach Hyman,Tyson Barrie,Oliver Ekman-Larsson,Frederik Andersen,Blake Comeau,30.09,26.5
Aleksander Barkov,Auston Matthews,Jakub Voracek,Zach Hyman,Oskar Lindblom,Erik Johnson,Ivan Provorov,Braden Holtby,Nolan Patrick,30.08,31.0
Vincent Trocheck,Nazem Kadri,Jonathan Huberdeau,Mitchell Marner,Tyson Jost,Morgan Rielly,Ivan Provorov,Braden Holtby,Denis Malgin,30.07,44.0
Vincent Trocheck,Nazem Kadri,Jakub Voracek,Mitchell Marner,Patrick Marleau,John Carlson,Samuel Girard,Marc-Andre Fleury,Denis Malgin,30.06,25.3
Nathan MacKinnon,Erik Haula,Mikko Rantanen,Gabriel Landeskog,James Neal,Keith Yandle,Brady Skjei,Henrik Lundqvist,Matt Nieto,30.06,32.0
